time=2026-08-29T18:30:07.982+08:00 level=DEBUG msg="Loaded prompt" id=identity-dp-dotnet-service-principal path=prompts\identity\data-plane\dotnet\service-principal-auth.prompt.md
time=2026-08-29T18:30:07.984+08:00 level=DEBUG msg="Loaded prompt" id=identity-dp-go-default-credential path=prompts\identity\data-plane\go\default-azure-credential.prompt.md
time=2026-08-29T18:30:07.984+08:00 level=DEBUG msg="Loaded prompt" id=identity-dp-go-managed-identity path=prompts\identity\data-plane\go\managed-identity-auth.prompt.md
time=2026-08-29T18:30:07.984+08:00 level=DEBUG msg="Loaded prompt" id=identity-dp-go-service-principal path=prompts\identity\data-plane\go\service-principal-auth.prompt.md
time=2026-08-29T18:30:07.990+08:00 level=DEBUG msg="Loaded prompt" id=identity-dp-java-credential-chain path=prompts\identity\data-plane\java\credential-chain.prompt.md
time=2026-08-29T18:30:07.993+08:00 level=DEBUG msg="Loaded prompt" id=identity-dp-java-default-credential path=prompts\identity\data-plane\java\default-azure-credential.prompt.md
time=2026-08-29T18:30:07.997+08:00 level=DEBUG msg="Loaded prompt" id=identity-dp-java-managed-identity path=prompts\identity\data-plane\java\managed-identity-auth.prompt.md
time=2026-08-29T18:30:07.998+08:00 level=DEBUG msg="Loaded prompt" id=identity-dp-java-service-principal path=prompts\identity\data-plane\java\service-principal-auth.prompt.md
time=2026-08-29T18:30:08.003+08:00 level=DEBUG msg="Loaded prompt" id=identity-dp-js-ts-default-credential path=prompts\identity\data-plane\js-ts\default-azure-credential.prompt.md
time=2026-08-29T18:30:08.004+08:00 level=DEBUG msg="Loaded prompt" id=identity-dp-js-ts-managed-identity path=prompts\identity\data-plane\js-ts\managed-identity-auth.prompt.md
time=2026-08-29T18:30:08.007+08:00 level=DEBUG msg="Loaded prompt" id=identity-dp-js-ts-service-principal path=prompts\identity\data-plane\js-ts\service-principal-auth.prompt.md
time=2026-08-29T18:30:08.008+08:00 level=DEBUG msg="Loaded prompt" id=identity-dp-python-credential-chain path=prompts\identity\data-plane\python\credential-chain.prompt.md
time=2026-08-29T18:30:08.010+08:00 level=DEBUG msg="Loaded prompt" id=identity-dp-python-default-credential path=prompts\identity\data-plane\python\default-azure-credential.prompt.md
time=2026-08-29T18:30:08.013+08:00 level=DEBUG msg="Loaded prompt" id=identity-dp-python-managed-identity path=prompts\identity\data-plane\python\managed-identity-auth.prompt.md
